Name,Id,StatusCode
S. ANGELO CINIGIANO,S06819,NoContent
S. ANGELO IN FOR.,S09030,NoContent
S. BENIGNO,S00881,NoContent
S. FELICE A CANCELLO-ARIENZO,S09019,NoContent
S. GENNARO,S08737,NoContent
S. IORIO,S09029,NoContent
S. MAMA,S06079,NoContent
S. MARCO,S09022,NoContent
S. MARIA A VICO,S09018,NoContent
S. MARTINO V.C.-M.SARCHIO-P.RANO,S09014,NoContent
S. VITO CHIETINO,S07985,NoContent
S.AGAPITO LONGANO,S09056,NoContent
S.ANNA DI CHIOGGIA,S05411,NoContent
S.DONATO MILANESE,S01624,NoContent
S.EUFEMIA DI BRISIGHELLA,S06616,NoContent
S.EUSANIO DEL SANGRO,S07989,NoContent
S.GIULIANO DEL SANNIO,S09476,NoContent
S.LORENZO LO VECCHIO,S12443,NoContent
S.MARIA COLLE SERRA,S09474,NoContent
S.PATRIZIO,S05953,NoContent
SACCONAGO,S01754,NoContent
SALASSA,S00886,NoContent
SALERNO IRNO,S09799,NoContent
SALUZZO,S00547,NoContent
SAN BENEDETTO PO,S05155,NoContent
SAN GIULIANO D'AREZZO,S06065,NoContent
SAN MAURIZIO,S00089,NoContent
SAN PIETRO INFINE,S09210,NoContent
SAN ROCCO MANTOVANO,S05157,NoContent
SANTOPADRE,S08817,NoContent
SARONNO SUD,S01077,NoContent
SASSINORO,S09475,NoContent
SASSUOLO RADICI,S05194,NoContent
SAVIGNANO MULINO,S05976,NoContent
SCANDIANO,S05984,NoContent
SCHAFFHAUSEN,S03424,NoContent
SCHIVENOGLIA,S05158,NoContent
SCHWAZ,S01179,NoContent
SEGNALE DI CONF. RENO EST,S05326,NoContent
SEGNALE DI CONF. RENO OVEST,S05325,NoContent
SEGNALE DI CONFINE 1^BV ORV. SUD (DISP),S06087,NoContent
SEGNALE DI CONFINE 1^BV ORV. SUD (PARI),S06088,NoContent
SEGNALE DI CONFINE 2BV AREZZO SUD (DISP),S06089,NoContent
SEGNALE DI CONFINE 2BV AREZZO SUD (PARI),S06090,NoContent
SEGNALE DI CONFINE 2^BV ORV. NORD (DISP),S06095,NoContent
SEGNALE DI CONFINE 2^BV ORV. NORD (PARI),S06096,NoContent
SEGNALE DI CONFINE PM MONTALLESE (DISP),S06091,NoContent
SEGNALE DI CONFINE PM MONTALLESE (PARI),S06092,NoContent
SEGNALE DI CONFINE PM PIEVE (DISP),S06093,NoContent
SEGNALE DI CONFINE PM PIEVE (PARI),S06094,NoContent
SENALES,S02210,NoContent
SERENELLA,S01073,NoContent
SERMIDE,S05161,NoContent
SEVNICA,S42100,NoContent
SEZANA,S01000,NoContent
SIERRE SIDERS,S01509,NoContent
SINGEN,S03700,NoContent
SIOFOK,S03350,NoContent
SION,S01225,NoContent
SIPICCIANO S.NICOLA,S08302,NoContent
SOMMACAMPAGNA-SONA,S02094,NoContent
SPADAFORA,S12054,NoContent
SPIEZ,S07483,NoContent
SPINET.V.S.PIO X,S07022,NoContent
ST VEIT GLAN,S03633,NoContent
ST.DALMAS DE TENDE,S00620,NoContent
STABIO,S19919,NoContent
STAGGIA,S06810,NoContent
STEINACH TIROL,S02264,NoContent
STELLATA FICAROLO,S05164,NoContent
STUTTGART HBF,S03800,NoContent
SUBBIANO,S06082,NoContent
SURBO,S11144,NoContent
SURBO FASCIO MERCI,S11134,NoContent
SUZZARA V.N.,S05153,NoContent
SZEKESFEHERVAR,S03269,NoContent
TAGLIATA,S05959,NoContent
TEL,S02213,NoContent
TEMPIO DI VULCANO,S12215,NoContent
TENDE,S00619,NoContent
THUN,S01250,NoContent
TORINO REBAUDENGO FOSSATA,S00060,NoContent
TORREMEZZO DI FALCONARA,S11971,NoContent
TORRIONE,S09835,NoContent
TOSCANO,S11961,NoContent
TRACCIA,S09122,NoContent
TREQUANDA,S06821,NoContent
TRESIGALLO - CORREGGI,S05172,NoContent
TRICESIMO - SAN PELAGIO,S03023,NoContent
TRIESTE AIRPORT,S03213,NoContent
TRIESTE SERVOLA,S03854,NoContent
TRIFLISCO,S09028,NoContent
TUFARA VALLE,S09013,NoContent
TUTTINGEN,S02901,NoContent
VALCESURA,S05177,NoContent
VALLAZZA - CARBONARA PO,S05160,NoContent
VALLORBE,S01103,NoContent
VALPERGA,S00887,NoContent
VAREDO,S01084,NoContent
VEGGIA,S05979,NoContent
VENARIA,S00085,NoContent
VENEZIA MARGHERA SCALO,S02515,NoContent
VENEZIA MESTRE OSPEDALE,S02517,NoContent
VERGINESE,S05197,NoContent
VERONA PARONA,S02058,NoContent
VEZZOLA,S05942,NoContent
VIA CAMPANA,S09114,NoContent
VIA CHIARI,S06064,NoContent
VIA LUNGA,S05972,NoContent
VIEVOLA,S00618,NoContent
VIGARANO PIEVE,S05166,NoContent
VIGNOLA,S05978,NoContent
VILLA ORTENSIA,S09024,NoContent
VILLA S.MARIA,S07995,NoContent
VILLA SAN MICHELE,S08555,NoContent
VILLALUNGA,S05980,NoContent
VILLANOVA - GROSSO,S00092,NoContent
VOLPIANO,S00880,NoContent
VRBOVEC,S73110,NoContent
VRTOJBA,S03299,NoContent
Y,S99999,NoContent
ZAMARDI,S03392,NoContent
ZERBINATE,S05163,NoContent
ZOLA CENTRO,S05971,NoContent
ZURICH ALTSTETTEN,S03001,NoContent
